File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2018001_aid0001,aid0001,2018-01-01,,599.0,,,31.0,1.0,,,,,,,
LC_Type1_2018001_aid0002,aid0002,2018-01-01,,,,,,1.0,1.0,,15.0,2.0,,,
LC_Type1_2018001_aid0003,aid0003,2018-01-01,,,,,4.0,7.0,4.0,,14.0,2.0,,,
LC_Type1_2018001_aid0004,aid0004,2018-01-01,,,,,,3.0,6.0,,19.0,4.0,,,
LC_Type1_2018001_aid0005,aid0005,2018-01-01,,,,,,,,,6.0,,,,
LC_Type1_2018001_aid0006,aid0006,2018-01-01,,,,,,,,,9.0,,,,
LC_Type1_2018001_aid0007,aid0007,2018-01-01,,,,,,,1.0,,9.0,,,,
LC_Type1_2018001_aid0008,aid0008,2018-01-01,,,,,,6.0,1.0,,11.0,,,,
LC_Type1_2018001_aid0009,aid0009,2018-01-01,,,,,,7.0,,,21.0,,,,
LC_Type1_2018001_aid0010,aid0010,2018-01-01,,,,,,2.0,,,6.0,4.0,,,
LC_Type1_2018001_aid0011,aid0011,2018-01-01,,,,,,22.0,1.0,,13.0,,,,
LC_Type1_2018001_aid0012,aid0012,2018-01-01,,,,,,2.0,,,15.0,,,,
LC_Type1_2018001_aid0013,aid0013,2018-01-01,,,,,1.0,13.0,1.0,,7.0,,,,
LC_Type1_2018001_aid0014,aid0014,2018-01-01,,,,,20.0,23.0,,,,,,,
LC_Type1_2018001_aid0015,aid0015,2018-01-01,,,,,,16.0,11.0,,4.0,,,,
LC_Type1_2018001_aid0016,aid0016,2018-01-01,,,,,2.0,7.0,1.0,,4.0,,,,
LC_Type1_2018001_aid0017,aid0017,2018-01-01,,10.0,,,8.0,6.0,2.0,,13.0,,,,
LC_Type1_2018001_aid0018,aid0018,2018-01-01,,1.0,3.0,,1.0,5.0,,,3.0,,,,
LC_Type1_2018001_aid0019,aid0019,2018-01-01,,,,,,4.0,,,8.0,1.0,,,
LC_Type1_2018001_aid0020,aid0020,2018-01-01,,,,,2.0,11.0,4.0,,,,,,1.0
LC_Type1_2018001_aid0021,aid0021,2018-01-01,,,,,4.0,4.0,2.0,,8.0,3.0,,,
LC_Type1_2018001_aid0022,aid0022,2018-01-01,,,,,,,,,14.0,,,,
LC_Type1_2018001_aid0023,aid0023,2018-01-01,,1.0,,,24.0,3.0,,,,,,,
LC_Type1_2018001_aid0024,aid0024,2018-01-01,,,,,3.0,5.0,,,4.0,,,,
LC_Type1_2018001_aid0025,aid0025,2018-01-01,,22.0,,,25.0,8.0,1.0,,2.0,,,,
LC_Type1_2018001_aid0026,aid0026,2018-01-01,,4.0,,,4.0,10.0,2.0,,,,,,
LC_Type1_2018001_aid0027,aid0027,2018-01-01,,,,,4.0,9.0,4.0,,5.0,,,,
LC_Type1_2018001_aid0028,aid0028,2018-01-01,,,,,3.0,12.0,1.0,,1.0,,,,
LC_Type1_2018001_aid0029,aid0029,2018-01-01,,,,,,2.0,,,2.0,,,,
LC_Type1_2018001_aid0030,aid0030,2018-01-01,,,,,,4.0,,,1.0,,,,
LC_Type1_2018001_aid0031,aid0031,2018-01-01,,,,,,,,,5.0,,,,
LC_Type1_2018001_aid0032,aid0032,2018-01-01,,,,,,3.0,2.0,,,,,,
LC_Type1_2018001_aid0033,aid0033,2018-01-01,,,,,,2.0,,,2.0,,,,
LC_Type1_2018001_aid0034,aid0034,2018-01-01,,,,,,,,,5.0,,,,
LC_Type1_2018001_aid0035,aid0035,2018-01-01,,,,,,1.0,,,3.0,,,,
